name,series,results_url
Edinburgh,IRONMAN-70.3,https://www.ironman.com/im703-edinburgh
Exmoor,IRONMAN-70.3,https://www.ironman.com/im703-exmoor
Foz do Iguaçu,IRONMAN-70.3,https://www.ironman.com/im703-foz-do-iguacu
Galway,IRONMAN-70.3,https://www.ironman.com/im703-galway
Graz,IRONMAN-70.3,https://im703-graz
"Greece, Costa Navarino",IRONMAN-70.3,https://www.ironman.com/im703-greece
Hefei,IRONMAN-70.3,https://www.ironman.com/im703-hefei
Incheon,IRONMAN-70.3,https://www.ironman.com/im703-incheon
Kansas,IRONMAN-70.3,https://www.ironman.com/im703-kansas
Lake Stevens,IRONMAN-70.3,https://www.ironman.com/im703-lake-stevens
Lombok,IRONMAN-70.3,https://www.ironman.com/im703-lombok
Lubbock,IRONMAN-70.3,https://www.ironman.com/im703-lubbock
Mandurah,IRONMAN-70.3,https://www.ironman.com/im703-mandurah
Marrakech,IRONMAN-70.3,https://www.ironman.com/im703-marrakech
Memphis,IRONMAN-70.3,http://im703-memphis
Miami,IRONMAN-70.3,https://www.ironman.com/im703-miami
Monaco,IRONMAN-70.3,https://www.ironman.com/im703-monaco
Mooseman,IRONMAN-70.3,https://www.ironman.com/im703-mooseman
New Orleans,IRONMAN-70.3,https://www.ironman.com/im703-new-orleans
Otepää,IRONMAN-70.3,https://www.ironman.com/im703-otepaa
Palmas,IRONMAN-70.3,https://www.ironman.com/im703-palmas
Pocono Mountains,IRONMAN-70.3,https://www.ironman.com/im703-pocono-mountains
Pula,IRONMAN-70.3,https://www.ironman.com/im703-pula
Putrajaya,IRONMAN-70.3,https://www.ironman.com/im703-putrajaya
Qujing ,IRONMAN-70.3,https://www.ironman.com/im703-qujing
Racine,IRONMAN-70.3,https://www.ironman.com/im703-racine
Raleigh,IRONMAN-70.3,https://www.ironman.com/im703-raleigh
Rhode Island,IRONMAN-70.3,https://www.ironman.com/im703-rhode-island
Ruegen,IRONMAN-70.3,https://www.ironman.com/im703-ruegen
Saipan,IRONMAN-70.3,https://www.ironman.com/im703-saipan
Sandnes,IRONMAN-70.3,https://www.ironman.com/im703-sandnes
Sardegna,IRONMAN-70.3,https://www.ironman.com/im703-sardegna
Silverman,IRONMAN-70.3,https://www.ironman.com/im703-silverman
Singapore,IRONMAN-70.3,https://www.ironman.com/im703-singapore
Slovenian Istria,IRONMAN-70.3,https://www.ironman.com/im703-slovenian-istria
St. Croix,IRONMAN-70.3,https://www.ironman.com/im703-st-croix
St. Petersburg,IRONMAN-70.3,https://www.ironman.com/im703-st-petersburg
Staffordshire,IRONMAN-70.3,https://www.ironman.com/im703-staffordshire
Steelhead,IRONMAN-70.3,https://www.ironman.com/im703-steelhead
Syracuse,IRONMAN-70.3,https://www.ironman.com/im703-syracuse
Superfrog,IRONMAN-70.3,https://www.ironman.com/im703-superfrog
Taitung,IRONMAN-70.3,https://www.ironman.com/im703-taitung
Timberman,IRONMAN-70.3,https://www.ironman.com/im703-timberman
Virginia Blue Ridge,IRONMAN-70.3,https://www.ironman.com/im703-virginia-blue-ridge
Washington,IRONMAN-70.3,https://www.ironman.com/im703-washington
Wiesbaden,IRONMAN-70.3,https://www.ironman.com/im703-wiesbaden
Yeppoon,IRONMAN-70.3,https://www.ironman.com/im703-yeppoon
Bela Bela,5150-Triathlon-Series,https://www.ironman.com/5150-bela-bela
Davao,5150-Triathlon-Series,https://www.ironman.com/5150-davao-philippines
Ekurhuleni,5150-Triathlon-Series,https://www.ironman.com/5150-ekurhuleni
Muscat,5150-Triathlon-Series,https://www.ironman.com/5150-muscat
Poreč,5150-Triathlon-Series,https://www.ironman.com/5150-croatia
SUPERSEAL,5150-Triathlon-Series,https://www.ironman.com/superseal-triathlon
Zürich,5150-Triathlon-Series,https://www.ironman.com/5150-zurich
